t,robot,x,y
138.0,leo1,0.997,0.029
140.0,leo1,0.997,0.029
142.0,leo1,0.997,0.029
144.0,leo1,0.997,0.029
146.0,leo1,1.020,0.020
148.0,leo1,1.007,0.052
150.0,leo1,0.938,-0.138
152.0,leo1,0.524,-0.481
154.0,leo1,0.140,-0.816
156.0,leo1,0.059,-0.905
158.0,leo1,0.065,-0.893
160.0,leo1,0.087,-0.908
162.0,leo1,0.132,-0.937
164.0,leo1,0.137,-0.935
166.0,leo1,0.137,-0.935
168.0,leo1,0.137,-0.935
170.0,leo1,0.105,-1.019
172.0,leo1,0.068,-1.119
174.0,leo1,0.102,-1.168
176.0,leo1,0.075,-1.236
178.0,leo1,0.169,-1.179
180.0,leo1,0.570,-1.145
182.0,leo1,1.102,-1.179
184.0,leo1,1.622,-1.182
186.0,leo1,2.143,-1.125
188.0,leo1,2.659,-1.020
190.0,leo1,3.107,-0.887
192.0,leo1,3.209,-0.845
194.0,leo1,3.476,-0.820
196.0,leo1,3.995,-0.861
198.0,leo1,4.520,-0.925
200.0,leo1,5.040,-1.071
202.0,leo1,5.549,-1.188
204.0,leo1,5.812,-1.259
206.0,leo1,5.821,-1.264
208.0,leo1,5.805,-1.239
210.0,leo1,5.797,-1.262
212.0,leo1,5.596,-1.251
214.0,leo1,5.111,-1.039
216.0,leo1,4.765,-0.820
218.0,leo1,4.624,-0.408
220.0,leo1,4.618,0.115
222.0,leo1,4.770,0.651
224.0,leo1,4.994,1.129
226.0,leo1,5.076,1.244
228.0,leo1,5.047,1.285
230.0,leo1,4.750,1.353
232.0,leo1,4.174,1.417
234.0,leo1,3.679,1.563
236.0,leo1,3.482,1.614
238.0,leo1,3.482,1.614
240.0,leo1,3.482,1.614
242.0,leo1,3.461,1.603
244.0,leo1,3.472,1.632
246.0,leo1,3.499,1.550
248.0,leo1,3.505,1.555
250.0,leo1,3.505,1.555
252.0,leo1,3.505,1.555
254.0,leo1,3.457,1.538
256.0,leo1,3.357,1.504
258.0,leo1,3.264,1.473
260.0,leo1,3.263,1.406
262.0,leo1,3.416,1.468
264.0,leo1,3.616,1.436
266.0,leo1,3.739,1.341
268.0,leo1,3.745,1.347
270.0,leo1,3.745,1.346
272.0,leo1,3.745,1.346
274.0,leo1,3.728,1.338
276.0,leo1,3.811,1.265
278.0,leo1,3.911,1.049
280.0,leo1,3.807,0.591
282.0,leo1,3.524,0.131
284.0,leo1,3.176,-0.153
286.0,leo1,2.853,-0.239
288.0,leo1,2.853,-0.239
290.0,leo1,2.853,-0.239
292.0,leo1,2.932,-0.239
294.0,leo1,3.035,-0.238
296.0,leo1,3.143,-0.237
298.0,leo1,2.995,-0.238
300.0,leo1,3.215,0.050
302.0,leo1,3.020,0.190
304.0,leo1,2.988,0.045
306.0,leo1,2.963,-0.027
308.0,leo1,2.936,-0.075
310.0,leo1,2.923,-0.096
312.0,leo1,2.913,-0.110
314.0,leo1,2.875,-0.152
316.0,leo1,2.881,-0.146
318.0,leo1,2.884,-0.144
320.0,leo1,2.885,-0.143
322.0,leo1,2.885,-0.143
324.0,leo1,2.886,-0.143
326.0,leo1,2.886,-0.143
328.0,leo1,2.886,-0.142
330.0,leo1,2.886,-0.142
332.0,leo1,2.886,-0.142
334.0,leo1,2.886,-0.142
336.0,leo1,2.886,-0.142
338.0,leo1,2.886,-0.142
340.0,leo1,2.886,-0.142
342.0,leo1,2.887,-0.142
344.0,leo1,2.887,-0.142
346.0,leo1,2.887,-0.142
348.0,leo1,2.887,-0.142
350.0,leo1,2.887,-0.142
352.0,leo1,2.888,-0.141
354.0,leo1,2.888,-0.141
356.0,leo1,2.888,-0.141
